,0
420,ENSG00000278311
421,ENSG00000158773
422,ENSG00000172432
423,ENSG00000092929
424,ENSG00000214279
425,ENSG00000108669
426,ENSG00000125814
427,ENSG00000185561
428,ENSG00000213139
429,ENSG00000025708
430,ENSG00000165966
431,ENSG00000135625
432,ENSG00000132530
433,ENSG00000111728
434,ENSG00000165806
435,ENSG00000156976
436,ENSG00000173193
437,ENSG00000177989
438,ENSG00000111012
439,ENSG00000116717
440,ENSG00000135407
441,ENSG00000133805
442,ENSG00000026103
443,ENSG00000198301
444,ENSG00000184384
445,ENSG00000136514
446,ENSG00000138755
447,ENSG00000206561
448,ENSG00000188738
449,ENSG00000113916
450,ENSG00000177294
451,ENSG00000002016
452,ENSG00000130653
453,ENSG00000181785
454,ENSG00000145040
455,ENSG00000131196
456,ENSG00000185338
457,ENSG00000073282
458,ENSG00000104312
459,ENSG00000118495
460,ENSG00000147234
461,ENSG00000173575
462,ENSG00000148734
463,ENSG00000127364
464,ENSG00000060339
465,ENSG00000054267
466,ENSG00000169871
467,ENSG00000132481
468,ENSG00000159200
469,ENSG00000164404
470,ENSG00000177238
471,ENSG00000005483
472,ENSG00000135604
473,ENSG00000129473
474,ENSG00000155085
475,ENSG00000138386
476,ENSG00000115604
477,ENSG00000071054
478,ENSG00000163131
479,ENSG00000110944
480,ENSG00000189367
481,ENSG00000121068
482,ENSG00000167207
483,ENSG00000151338
484,ENSG00000136630
485,ENSG00000260314
486,ENSG00000167780
487,ENSG00000189233
488,ENSG00000197272
489,ENSG00000176046
490,ENSG00000185022
491,ENSG00000127452
492,ENSG00000184144
493,ENSG00000182450
494,ENSG00000138166
495,ENSG00000173120
496,ENSG00000177943
497,ENSG00000143952
498,ENSG00000112773
499,ENSG00000163347
500,ENSG00000130561
501,ENSG00000019582
502,ENSG00000141582
503,ENSG00000161031
504,ENSG00000104447
505,ENSG00000131669
506,ENSG00000070814
507,ENSG00000091972
508,ENSG00000173198
509,ENSG00000139631
510,ENSG00000166292
511,ENSG00000170412
512,ENSG00000115415
513,ENSG00000197329
514,ENSG00000182307
515,ENSG00000143603
516,ENSG00000166004
517,ENSG00000139263
518,ENSG00000120738
519,ENSG00000141086
520,ENSG00000139718
521,ENSG00000172602
522,ENSG00000103534
523,ENSG00000205220
524,ENSG00000154144
525,ENSG00000170581
526,ENSG00000166012
527,ENSG00000143498
528,ENSG00000088038
529,ENSG00000066923
530,ENSG00000173918
531,ENSG00000127191
532,ENSG00000164342
533,ENSG00000182685
534,ENSG00000100739
535,ENSG00000091527
536,ENSG00000168398
537,ENSG00000090382
538,ENSG00000118263
539,ENSG00000173391
540,ENSG00000139318
541,ENSG00000144401
542,ENSG00000175455
543,ENSG00000168071
544,ENSG00000091513
545,ENSG00000213398
546,ENSG00000073756
547,ENSG00000103995
548,ENSG00000169245
549,ENSG00000169248
550,ENSG00000162783
