Gene	Papio anubis FC	Papio anubis P-value	Papio anubis Q-value	Gorilla gorilla FC	Gorilla gorilla P-value	Gorilla gorilla Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value	Saimiri boliviensis boliviensis FC	Saimiri boliviensis boliviensis P-value	Saimiri boliviensis boliviensis Q-value	Pongo abelii FC	Pongo abelii P-value	Pongo abelii Q-value	Pan paniscus FC	Pan paniscus P-value	Pan paniscus Q-value	Pan troglodytes FC	Pan troglodytes P-value	Pan troglodytes Q-value	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca nemestrina FC	Macaca nemestrina P-value	Macaca nemestrina Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value
ENSG00000125810	-1.597854485	0.558753123	0.8365796	2.932041091	0.000457633	0.003510102	1.469417478	2.20E-06	2.59E-05	0.216388119	0.762761382	1	2.380213538	0.024352984	0.108941936	3.546032043	0.000172474	0.001222075	2.133799718	0.002195636	0.010437941	2.806847342	0.005551284	0.027132571	1.133675805	0.46986255	0.833606483	-0.423668041	1	1
ENSG00000180720	0.811608594	0.623924509	0.904183969	0	1	1	-0.411211338	0.589550218	0.965473834	0.995559387	0.472498464	0.758017876	3.526661997	0.08420852	0.273752106	1.733273296	0.238923953	0.504367898	-0.449057078	0.55898088	0.89909288	1.835790473	0.144286541	0.348203508	0.347819055	0.874703275	1	1.95992054	0.380110142	0.773948031
ENSG00000114770	0.017895795	0.899256386	1	-0.277296706	0.028672237	0.113505496	-0.335469481	0.132620355	0.355220277	-0.907505765	2.38E-06	2.12E-05	-0.450766916	0.036932977	0.150612679	0.003155146	0.985975112	1	-0.139126078	0.151041896	0.359102266	-0.412857495	0.145218065	0.349863688	-0.277191015	0.018736659	0.077919403	0.004893636	0.96489775	1
ENSG00000115993	-0.847815019	5.02E-13	1.22E-11	-0.543567839	0.001436793	0.00943112	-0.082029046	0.20533938	0.481735655	-1.248796945	5.38E-07	5.33E-06	-0.128627301	0.26997043	0.598172819	-0.403375474	0.001031636	0.005961887	-0.574382449	5.37E-14	1.63E-12	-0.911886665	4.26E-06	4.89E-05	-1.229558712	5.38E-20	4.26E-18	-0.390492394	1.94E-07	6.53E-06
ENSG00000088930	-0.078198872	0.409376823	0.67998776	0.183399953	0.23573386	0.54044459	0.407318806	2.00E-07	2.87E-06	0.020442962	0.829915523	1	0.248413182	0.135734481	0.38407245	0.364663921	0.026579041	0.093330647	0.206995048	0.010562423	0.040558281	0.407039607	0.062316375	0.187816617	-0.284548897	0.05024596	0.16960552	-0.021537931	0.825532285	1
ENSG00000082146	-0.596985616	0.004020534	0.016453158	-0.171239398	0.482495584	0.861458914	-0.153621362	0.267281649	0.578688817	-0.886377579	0.00065091	0.003437242	0.071889365	0.678469207	1	-0.065802861	0.726930984	1	-0.05665804	0.607985936	0.952100648	0.11402705	0.600499116	0.886144193	-0.474504076	0.006397959	0.03267138	-0.079007734	0.590116576	0.964101391
ENSG00000145191	0.624667377	7.03E-12	1.48E-10	0.365400256	0.074301339	0.236732903	-0.035707715	0.658102214	1	0.297213151	0.001724007	0.008063905	0.008277091	0.955682366	1	0.418345963	0.002551259	0.013051074	0.325127888	0.000147282	0.000955299	0.406195704	0.047292474	0.152304839	0.612350226	3.30E-05	0.000369499	0.372536551	9.76E-05	0.001441552
ENSG00000196220	0.63512825	0.070042888	0.183024109	0.652161536	0.794804263	1	0.475518854	0.069720798	0.216860462	0.772918473	0.064297854	0.167294133	1.752502605	0.116039668	0.344558509	0.350077452	0.769461431	1	0.424955127	0.688223898	1	0.60037658	0.408274367	0.699645263	-0.117083801	0.886255528	1	-0.00543172	1	1
ENSG00000149091	-0.357493987	0.002350229	0.010239941	-0.549691534	0.000146636	0.001306106	0.017221668	0.844197268	1	0.186162049	0.223951406	0.442601237	-0.416564435	0.005837409	0.034509938	-0.387896412	0.015463352	0.05965773	-0.265692155	0.025578597	0.086087388	-0.452849851	0.057758947	0.177225785	0.035893258	0.76860868	1	0.114711578	0.204112932	0.549909351
ENSG00000155755	-0.263176916	0.1513876	0.333715316	-1.089007785	2.13E-13	8.17E-12	-0.362159213	0.00354864	0.018464798	-0.275064762	0.016515169	0.05488455	-0.129590358	0.43166986	0.807203635	-0.846603525	1.14E-13	2.98E-12	-0.874702763	6.23E-24	4.04E-22	-0.970762172	3.57E-11	8.99E-10	-0.825982997	2.37E-07	4.66E-06	-0.374652975	0.044561512	0.197456047
