Gene	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value	Rattus norvegicus FC	Rattus norvegicus P-value	Rattus norvegicus Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value
ENSG00000084110	1.604027811	0.081227747	0.319686192	1.81681541	0.086497846	0.26444608	0.318040874	0.742911331	1	0.170691144	1	1
ENSG00000213066	0.20339416	0.4068966	0.833693585	-0.06099178	0.77719293	1	0.895369838	0.010091421	0.123980738	0.555069913	0.039735478	0.286863531
ENSG00000135913	0.076656779	0.626671979	1	-0.039590732	0.839435996	1	0.621912592	0.000124174	0.003492694	-0.03852517	0.866674	1
ENSG00000163512	-0.00482449	0.96643356	1	-0.569744122	2.56E-05	0.000389131	0.233845514	0.161995984	0.721283662	0.58710937	0.003096597	0.042223849
ENSG00000198752	0.055866907	0.631151333	1	-0.304469526	0.031135102	0.124286904	-0.015189177	0.92817037	1	-0.08183647	0.608198035	1
ENSG00000018280	0.503790846	0.441102849	0.865253716	-0.325276374	0.013609516	0.066137525	0.038953744	0.951994343	1	0.507879157	0.650433614	1
ENSG00000135926	-0.452318759	0.034495908	0.180947387	-0.500554959	0.006996939	0.039245444	-0.310993298	0.117847555	0.611045865	0.035823455	0.814290745	1
ENSG00000144642	-0.024577091	0.906235772	1	-0.269437772	0.445996798	0.801887225	0.2714324	0.22053264	0.853039606	-0.183067773	0.403976764	1
ENSG00000163513	-0.043089161	0.861243271	1	-0.321086563	0.049727	0.175969625	0.035946182	0.853290529	1	-0.209039248	0.244148669	0.84944054
ENSG00000205436	2.239245707	0.274591871	0.665765326	-0.775422057	0.712999289	1	1.187920185	0.017580065	0.184540016	1.273431685	1.44E-05	0.000418813
ENSG00000127837	-0.316275683	0.003764183	0.036135011	-0.334618019	0.015893551	0.074436754	-0.139588158	0.420051863	1	0.007015091	0.968209985	1
ENSG00000185215	3.847253243	1.84E-16	3.37E-14	3.096068351	1.22E-18	1.81E-16	2.968525577	1.18E-48	5.38E-46	1.721042689	1.98E-16	2.64E-14
ENSG00000104626	-0.410678739	0.032848162	0.174833788	-0.39117893	0.015452554	0.072909558	0.085437755	0.590170144	1	-0.137507888	0.530986958	1
ENSG00000213316	0.030160821	1	1	-0.36107833	0.590554884	0.931995753	0	1	1	1.299617699	0.234151381	0.830707146
ENSG00000163466	-0.219783988	0.034047793	0.179428693	-0.36995568	0.01617098	0.075392344	-0.162917969	0.290307526	0.946864972	-0.043966866	0.780993152	1
ENSG00000177669	0	1	1	0	1	1	-0.748887223	1	1	2.612146022	0.520892718	1
ENSG00000059758	-0.058297638	0.688860809	1	0.095542598	0.634642176	0.974759774	0.081014555	0.565682091	1	0.066134241	0.824414502	1
ENSG00000118816	-0.118628879	0.233913469	0.618267127	-0.442866756	0.004877432	0.029671735	-0.359649228	0.031017978	0.27378752	-0.224747313	0.218037344	0.80080641
ENSG00000100664	-0.148420221	0.425070046	0.850312727	-0.2207242	0.082026667	0.255041692	0.022123777	0.906934963	1	0.022224991	0.927273721	1
ENSG00000163527	-0.590493371	5.88E-06	0.000163573	-0.929269631	1.11E-10	5.71E-09	-0.594020134	0.000368423	0.008877485	-0.440191534	0.003000088	0.041191626
ENSG00000115461	-0.183510334	0.7558423	1	-0.733244023	0.171225223	0.426550103	-0.849629768	0.008880126	0.112400788	-0.59455591	0.383542854	1
